,User-ID,Location,Age
0,254,"minneapolis, minnesota, usa",24.0
1,507,"dumas, arkansas, usa",
2,638,"san diego, california, usa",20.0
3,643,"grenoble, rhone-alpes, france",23.0
4,651,"interlachen, florida, usa",26.0
5,805,"sonoma, california, usa",34.0
6,882,"berkeley, california, usa",23.0
7,929,"king of prussia, ,",36.0
8,1025,"maidstone, england, united kingdom",33.0
9,1131,"berkeley, ,",22.0
10,1424,"north avoca, new south wales, australia",
11,1435,"st. louis, missouri, usa",36.0
12,1733,"independence, west virginia, usa",30.0
13,1848,"bellingham, washington, usa",22.0
14,1903,"hualien, taiwan, taiwan",36.0
15,2030,"seabeck, washington, usa",31.0
16,2033,"omaha, nebraska, usa",27.0
17,2110,"charlotte, north carolina, usa",
18,2179,"sunderland, massachusetts, usa",30.0
19,2276,"niskayuna, new york, usa",46.0
20,2313,"cincinnati, ohio, usa",23.0
21,2766,"frisco, texas, usa",42.0
22,2891,"beaverton, oregon, usa",
23,2977,"richland, washington, usa",25.0
24,3167,"milwaukee, wisconsin, usa",42.0
25,3346,"tehran, tehran, iran",20.0
26,3363,"knoxville, tennessee, usa",29.0
27,3371,"groveland, massachusetts, usa",25.0
28,3373,"elk grove, california, usa",30.0
29,3556,"bismarck, north dakota, usa",68.0
30,3827,"orlando, florida, usa",23.0
31,3840,"meriden, connecticut, usa",46.0
32,3917,"toronto, ontario, canada",25.0
33,3923,"vienna, ,",
34,4017,"new orleans, louisiana, usa",48.0
35,4157,"birmingham, alabama, usa",39.0
36,4197,"anchorage, alaska, usa",61.0
37,4385,"albq, new mexico, usa",33.0
38,4785,"litchfield, connecticut, usa",30.0
39,4938,"charleston, south carolina, usa",30.0
40,5209,"medford, new jersey, usa",48.0
41,5476,"chester, ,",
42,5499,"lakeland, tennessee,",60.0
43,5543,"cumberland, maryland, usa",29.0
44,5582,"seattle, washington, usa",26.0
45,6073,"houston, texas, usa",28.0
46,6238,"silsden, keighley, west yorkshire, united kingdom",38.0
47,6242,"calgary, alberta, canada",
48,6251,"wahiawa, hawaii, usa",32.0
49,6323,"wilmington, north carolina, usa",35.0
50,6532,"new westminster, british columbia, canada",
51,6543,"strafford, missouri, usa",34.0
52,6563,"burien, washington, usa",31.0
53,6575,"seattle, washington, usa",
54,6611,"oradea, n/a, romania",22.0
55,6662,"toronto, ontario, canada",31.0
56,7125,"apo, ae, usa",28.0
57,7158,"omaha, nebraska, usa",30.0
58,7283,"saint marys, georgia, usa",30.0
59,7286,"pasco, washington, usa",28.0
60,7346,"sunnyvale, california, usa",49.0
61,7864,"klang, selangor, malaysia",17.0
62,7915,"st. paul, minnesota, usa",
63,7958,"oeiras, lisbon, portugal",27.0
64,8019,"toronto, ontario, canada",
65,8066,"chicago, illinois, usa",
66,8067,"owings mills, maryland, usa",26.0
67,8245,"torrance, california, usa",31.0
68,8253,"tulsa, oklahoma, usa",26.0
69,8284,"manchester, kentucky, usa",28.0
70,8362,"los angeles, california, usa",28.0
71,8454,"auburndale, massachusetts, usa",
72,8681,"orlando, florida, usa",34.0
73,8734,"chula vista, california, usa",
74,8782,"calgary, alberta, canada",239.0
75,8936,"elizabeth city, north carolina, usa",18.0
76,8971,"berlin, berlin, germany",27.0
77,9417,"whitby, ontario, canada",26.0
78,9440,"indianapolis, indiana, usa",21.0
79,9613,"collings lakes, new jersey, usa",34.0
80,9747,"o`fallon, missouri, usa",
81,9856,"glendale, colorado, usa",22.0
82,9908,"woodstock, georgia, usa",36.0
83,10030,"pittsburgh, pennsylvania, usa",66.0
84,10118,"minneapolis, minnesota, usa",44.0
85,10314,"beaverton, oregon, usa",
86,10354,"martinsburg, west virginia, usa",15.0
87,10447,"chicago, illinois, usa",
88,10560,"chicago, illinois, usa",27.0
89,10819,"richmond, kentucky, usa",27.0
90,11224,"tumwater, washington, usa",51.0
91,11245,"scarborough, ontario, canada",
92,11601,"brooklyn, new york, usa",
93,11629,"houston, texas, usa",21.0
94,11657,"cincinnati, ohio, usa",25.0
95,11676,"n/a, n/a, n/a",
96,11687,"orillia, ontario, canada",47.0
97,11724,"west lawn, pennsylvania, usa",42.0
98,11993,"lakewood, colorado, usa",37.0
99,12100,"quezon city, national capital region, philippines",26.0
100,12537,"byron, minnesota,",
101,12538,"byron, minnesota, usa",18.0
102,12824,"long beach, california, usa",18.0
103,12863,"london, england, united kingdom",29.0
104,12917,"moore, oklahoma, usa",24.0
105,12982,"getxo, vizcaya, spain",41.0
106,13273,"harrisburg, pennsylvania, usa",201.0
107,13518,"fishers, indiana, usa",27.0
108,13551,"raleigh, north carolina, usa",
109,13552,"cordova, tennessee, usa",32.0
110,13582,"lisboa, lisboa, portugal",29.0
111,13600,"athens, athens, greece",
112,13664,"escondido, california, usa",
113,13666,"tinley park, illinois, usa",54.0
114,13850,"online, n/a, usa",28.0
115,13995,"adelaide, south australia, australia",
116,14079,"valencia, valencia, spain",41.0
117,14374,"porter, maine, usa",57.0
118,14387,"coalville, leicestershire, england, united kingdom",35.0
119,14422,"apple valley, minnesota, usa",
120,14456,"edmonton, alberta, canada",27.0
121,14521,"providence, rhode island, usa",
122,14638,"roquemaure, languedoc roussillon, france",33.0
123,15021,"lake mary, florida, usa",37.0
124,15049,"benbrook, texas, usa",28.0
125,15135,"shreveport, louisiana, usa",33.0
126,15208,"woodside, new york, usa",
127,15408,"cary, north carolina, usa",34.0
128,15418,"vitoria, álava, spain",23.0
129,15602,"cherry hill, new jersey, usa",21.0
130,15670,"round rock, texas, usa",
131,15819,"grapevine, texas, usa",
132,15945,"charlotte, north carolina, usa",36.0
133,16009,"stratford, new jersey, usa",25.0
134,16106,"albany, california, usa",44.0
135,16161,"cobram, victoria, australia",28.0
136,16263,"ashland, wisconsin, usa",
137,16545,"berkeley, california, usa",
138,16601,"brewster, new york, usa",40.0
139,16634,"little rock, arkansas, usa",42.0
140,16718,"houston, texas, usa",29.0
141,16795,"mechanicsville, maryland, usa",47.0
142,16908,"chicago, illinois, usa",55.0
143,16916,"hackettstown, new jersey, usa",53.0
144,16966,"waterloo, ontario, canada",41.0
145,16996,"stratford, iowa, usa",23.0
146,17003,"carlsbad, california, usa",
147,17190,"woodstock, georgia, usa",31.0
148,17282,"irwin, pennsylvania, usa",38.0
149,17667,"iowa city, iowa, usa",33.0
150,17859,"roanoke, virginia, usa",43.0
151,17926,"honolulu, hawaii, usa",
152,17950,"puchong, selangor, malaysia",32.0
153,18067,"kajang, selangor, malaysia",33.0
154,18082,"southern, california, usa",38.0
155,18172,"levittown, pennsylvania, usa",36.0
156,18401,"chicago, illinois,",
157,19085,"menomonie, wisconsin, usa",60.0
158,19493,"baldwin, ,",
159,19664,"katonah, new york, usa",19.0
160,19711,"katy, texas, usa",
161,20060,"baltimore, maryland, usa",48.0
162,20172,"saratoga springs, utah, usa",27.0
163,20180,"sacramento, california, usa",36.0
164,20201,"grove city, ohio, usa",31.0
165,20332,"mountain view, california, usa",39.0
166,20462,"bossier city, louisiana, usa",
167,20561,"baltimore, maryland, usa",40.0
168,20961,"ottawa, ontario, canada",47.0
169,20971,"sacramento, california, usa",20.0
170,21011,"san francisco, california, usa",44.0
171,21014,"fresno, california, usa",
172,21031,"alexandria, virginia, usa",36.0
173,21229,"blairmore, alberta, canada",
174,21252,"duluth, minnesota, usa",28.0
175,21364,"san diego, california, usa",32.0
176,21404,"west vancouver, british columbia, canada",
177,21576,"memphis, tennessee, usa",31.0
178,21618,"atlanta, georgia, usa",24.0
179,21659,"san jose, california, usa",31.0
180,22045,"sacramento, california, usa",
181,22074,"san luis obispo, california, usa",
182,22154,"cleveland, ohio, usa",36.0
183,22252,"elmhurst, new york, usa",38.0
184,22521,"montgomery, alabama, usa",18.0
185,22625,"lynbrook, new york, usa",54.0
186,22818,"franklin, pennsylvania, usa",28.0
187,23288,"wolseley, saskatchewan, canada",
188,23511,"chapel hill, north carolina, usa",56.0
189,23547,"mcallen, texas, usa",26.0
190,23571,"burbank, california, usa",41.0
191,23680,"carmichael, ,",
192,23768,"st. louis, missouri, usa",45.0
193,23871,"pompano beach, florida, usa",
194,23872,"tulsa, oklahoma, usa",22.0
195,23902,"london, england, united kingdom",
196,24186,"vineland, new jersey, usa",36.0
197,24194,"palos hills, illinois, usa",20.0
198,24433,"deventer, overijssel, netherlands",37.0
199,24624,"decatur, georgia, usa",38.0
200,24733,"oswego, new york, usa",32.0
201,24921,"higley, arizona, usa",29.0
202,24933,"long island, new york, usa",44.0
203,25131,"grimes, iowa, usa",
204,25409,"la mesa, california, usa",31.0
205,25601,"gilbert, arizona, usa",41.0
206,25804,"halifax, nova scotia, canada",
207,25827,"austin, texas, usa",33.0
208,25850,"mastic beach, new york, usa",50.0
209,25919,"evansville, indiana, usa",
210,25981,"nj, new jersey, usa",
211,26084,"tuscaloosa, alabama, usa",21.0
212,26240,"sacramento, california, usa",
213,26487,"winder, georgia, usa",44.0
214,26516,"victor, montana, usa",67.0
215,26535,"hickory, mississippi, usa",41.0
216,26544,"woodbridge, virginia, usa",37.0
217,26583,"dollard des ormeaux, quebec, canada",
218,26593,"peoria, arizona, usa",
219,26620,"napa, california,",
220,26621,"haskell, new jersey, usa",
221,26756,"willowick, ohio, usa",35.0
222,26883,"vienna, vienna, austria",
223,27140,"baltimore, maryland, usa",49.0
224,27169,"catlettsburg, kentucky, usa",
225,27472,"bountiful, utah, usa",41.0
226,27617,"beaverton, ontario, canada",32.0
227,27647,"lisboa, lisboa, portugal",
228,27740,"san diego, , usa",57.0
229,27812,"long beach, california, usa",33.0
230,27813,"boerne, texas, usa",34.0
231,27875,"new port richey, florida, usa",
232,28016,"port clinton, ohio, usa",31.0
233,28177,"grand rapids, michigan, usa",26.0
234,28204,"south ohio, nova scotia, canada",61.0
235,28255,"richmond hill, ,",23.0
236,28360,"oakwood, georgia, usa",15.0
237,28451,"altamonte springs, florida, usa",31.0
238,28523,"springfield, missouri, usa",24.0
239,28591,"michie, tennessee, usa",33.0
240,28594,"thunder bay, ontario, canada",18.0
241,28619,"hartford, connecticut, usa",
242,28634,"bad axe, michigan, usa",28.0
243,28667,"norwood, massachusetts, usa",26.0
244,28938,"asheville, north carolina, usa",38.0
245,29209,"boca raton, florida, usa",
246,29259,"mt. airy, , usa",39.0
247,29526,"knoxville, tennessee, usa",26.0
248,29855,"morris, connecticut, usa",53.0
249,29915,"fullerton, california, usa",38.0
250,29974,"gulfport, florida, usa",
251,30035,"vancouver, british columbia, canada",37.0
252,30052,"minneapolis, minnesota, usa",
253,30081,"east providence, rhode island, usa",25.0
254,30273,"naples, florida, usa",25.0
255,30276,"wildwood, new jersey, usa",49.0
256,30445,"kuala lumpur, ,",23.0
257,30487,"newbury park, california, usa",40.0
258,30511,"culemborg, gelderland, netherlands",
259,30533,"charleston, south carolina, usa",
260,30711,"sydney, new south wales, australia",32.0
261,30712,"edinburgh, scotland, united kingdom",
262,30716,"new york, new york, usa",23.0
263,30735,"corvallis, oregon, usa",
264,30779,"petawawa, ontario, canada",18.0
265,30810,"berlin, berlin, germany",
266,30898,"richmond, virginia, usa",43.0
267,30972,"columbiana, alabama, usa",47.0
268,30985,"cape coral, florida, usa",
269,30994,"mission hills, california, usa",
270,31008,"london, england, united kingdom",29.0
271,31040,"san ramon, california, usa",
272,31050,"woodbine, maryland, usa",
273,31094,"cleveland, wisconsin, usa",
274,31308,"san jose, california, usa",38.0
275,31315,"henryville, indiana, usa",34.0
276,31391,"wilmington, massachusetts, usa",38.0
277,31393,"portland, oregon, usa",
278,31468,"yorktown, virginia, usa",33.0
279,31556,"chula vista, california, usa",51.0
280,31826,"jasper, missouri, usa",54.0
281,31846,"phoenix, , usa",
282,31900,"levittown, new york, usa",12.0
283,32195,"fall river, massachusetts, usa",
284,32250,"gta, ontario, canada",29.0
285,32440,"dunedin, otago, new zealand",
286,32599,"york, south carolina, usa",17.0
287,32627,"casper, wyoming, usa",49.0
288,32721,"toulouse, haute-garonne, france",36.0
289,32773,"olathe, kansas, usa",28.0
290,32802,"courtenay, british columbia, canada",
291,33124,"london, ontario, canada",
292,33179,"freedonia, emilia romagna, antarctica",
293,33283,"winnipeg, manitoba, canada",26.0
294,33319,"calgary, alberta, canada",24.0
295,33580,"rockwell, north carolina, usa",27.0
296,33818,"winnipeg, manitoba, canada",29.0
297,33826,"cape girardeau, missouri, usa",
298,33862,"abingdon, maryland, usa",
299,33888,"oldham, england, united kingdom",48.0
300,33933,"hull, massachusetts, usa",35.0
301,33958,"new orleans, louisiana,",
302,33974,"barnhart, missouri, usa",24.0
303,34300,"burlington, ontario, canada",35.0
304,34588,"west linn, oregon, usa",
305,34636,"orlando, florida, usa",
306,35445,"terre haute, indiana, usa",31.0
307,35704,"kansas city, missouri, usa",53.0
308,35836,"rochester, new york, usa",34.0
309,35857,"mentor, ohio, usa",36.0
310,35859,"duluth, minnesota, usa",
311,35918,"reno, nevada, usa",
312,35921,"mentor, ohio, usa",8.0
313,36003,"shah alam, selangor, malaysia",26.0
314,36043,"new york, new york, usa",30.0
315,36135,"charleston, south carolina, usa",
316,36256,"amarillo, texas, usa",39.0
317,36299,"austin, texas, usa",50.0
318,36327,"wirtz, virginia, usa",
319,36554,"carrboro, north carolina, usa",48.0
320,36606,"san marcos, california, usa",39.0
321,36609,"zachary, louisiana, usa",32.0
322,36715,"lexington, kentucky, usa",
323,36741,"hr. grace, newfoundland, canada",24.0
324,36836,"raleigh, north carolina, usa",56.0
325,36907,"dunnville, ontario, canada",39.0
326,37030,"la monte, missouri, usa",42.0
327,37208,"mesa, arizona, usa",30.0
328,37227,"hamilton, ohio, usa",27.0
329,37293,"whitehorse, yukon territory, canada",41.0
330,37310,"americus, georgia, usa",33.0
331,37400,"portland, oregon, usa",27.0
332,37538,"kuala lumpur, n/a, malaysia",
333,37567,"medway, kent, united kingdom",36.0
334,37597,"cherry valley, california, usa",25.0
335,37644,"sudbury, massachusetts, usa",18.0
336,37712,"cincinnati, ohio, usa",23.0
337,37790,"oshawa, ontario, canada",
338,37929,"toronto, ontario, canada",
339,37950,"calgary, alberta, canada",
340,37968,"roanoke, virginia, usa",50.0
341,37974,"rochester, new york, usa",
342,38023,"hayward, california, usa",30.0
343,38273,"chandler, arizona, usa",
344,38281,"barcelona, catalunya, spain",33.0
345,38556,"edmonton, alberta, canada",
346,38654,"kitchener, ontario, canada",17.0
347,38660,"ottawa, ontario, canada",40.0
348,38781,"kingsville, texas, usa",31.0
349,38832,"raleigh, north carolina, usa",52.0
350,38933,"san diego, california, usa",37.0
351,39227,"san diego, california, usa",37.0
352,39281,"morris plains, new jersey, usa",45.0
353,39345,"jacksonville, florida, usa",47.0
354,39396,"bonn, nordrhein-westfalen, germany",20.0
355,39467,"barcelona, catalunya, spain",35.0
356,39502,"kirkwood, missouri, usa",56.0
357,39527,"santeramo in colle, bari, italy",32.0
358,39616,"las vegas, nevada, usa",38.0
359,39646,"fairless hills, pennsylvania, usa",35.0
360,39773,"miami, florida, usa",49.0
361,40330,"germantown, maryland, usa",
362,40415,"san francisco, california, usa",34.0
363,40889,"brainerd, minnesota, usa",37.0
364,40914,"phoenix, arizona, usa",28.0
365,40922,"pittsboro, north carolina, usa",53.0
366,40943,"oklahoma city, oklahoma, usa",40.0
367,41084,"orlando, florida, usa",36.0
368,41086,"san jose, california, usa",42.0
369,41177,"austin, texas, usa",38.0
370,41364,"north little rock, arkansas, usa",34.0
371,41449,"danville, california, usa",
372,41455,"toronto, ontario, canada",
373,41589,"bellingham, washington, usa",51.0
374,41596,"mexico city, distrito federal, mexico",40.0
375,41757,"calgary, alberta, canada",58.0
376,41781,"clinton twp., michigan, usa",54.0
377,41831,"toronto, ontario, canada",52.0
378,41841,"sherwood park, alberta, canada",
379,42093,"fair haven, new jersey, usa",50.0
380,42162,"bucksport, maine, usa",18.0
381,42323,"madera, california, usa",
382,42458,"north york, ontario, canada",47.0
383,42573,"dallas, ,",78.0
384,42718,"baldwinsville, new york, usa",50.0
385,42798,"bellevue, nebraska, usa",15.0
386,42914,"clarksville, indiana, usa",26.0
387,43004,"fresno, california, usa",45.0
388,43006,"portland, maine, usa",29.0
389,43021,"carbondale, illinois, usa",
390,43246,"toronto, ontario, canada",36.0
391,43359,"sterling, virginia, usa",33.0
392,43481,"bridgewater, connecticut, usa",57.0
393,43619,"shrewsbury, massachusetts, usa",26.0
394,43687,"sacramento, california, usa",27.0
395,43842,"tucson, ,",
396,43910,"granada hills, california, usa",43.0
397,44089,"leduc, ,",
398,44190,"mt. crawford, virginia, usa",50.0
399,44252,"fairview, new jersey, usa",28.0
400,44296,"sydney, new south wales, australia",26.0
401,44297,"christchurch, canterbury, new zealand",22.0
402,44535,"warrensburg, missouri, usa",20.0
403,44595,"toronto, ontario, canada",39.0
404,44728,"florence, alabama, usa",31.0
405,44845,"dallas, texas, usa",29.0
406,44893,"alexandria, virginia, usa",
407,45113,"alderson, west virginia, usa",34.0
408,45315,"ada, michigan, usa",
409,45340,"canton, ohio, usa",
410,45418,"dingmans ferry, pennsylvania, usa",51.0
411,45557,"flossmoor, illinois, usa",33.0
412,46145,"chardon, ohio, usa",43.0
413,46293,"almonte, ontario, canada",38.0
414,46398,"san antonio, texas, usa",37.0
415,46443,"asheville, north carolina, usa",14.0
416,46461,"hershey, pennsylvania, usa",
417,46892,"northridge, california, usa",35.0
418,46909,"howell, new jersey, usa",31.0
419,47279,"stillwater, oklahoma, usa",29.0
420,47316,"comanche, texas, usa",
421,47609,"lubbock, texas, usa",34.0
422,47779,"webster, new york, usa",
423,47856,"ottawa, ontario, canada",32.0
424,47971,"toronto, ontario, canada",40.0
425,48025,"concordia, missouri, usa",43.0
426,48037,"delaware water gap, pennsylvania, usa",16.0
427,48046,"central sq., new york, usa",
428,48217,"portland, oregon, usa",40.0
429,48355,"florence, arizona, usa",35.0
430,48494,"lemon grove, california, usa",51.0
431,48579,"cleveland, oklahoma, usa",24.0
432,48911,"new orleans, louisiana, usa",57.0
433,48975,"beaver dams, new york, usa",
434,49109,"west jordan, utah, usa",38.0
435,49154,"thibodaux, louisiana, usa",41.0
436,49212,"san francisco, california, usa",38.0
437,49225,"medina, ohio, usa",
438,49422,"regensburg, bayern, germany",
439,49460,"., kansas, usa",37.0
440,49771,"san antonio, texas,",35.0
441,49792,"denver, pennsylvania, usa",
442,49889,"orem, utah, usa",
443,49900,"catonsville, maryland, usa",48.0
444,49980,"new hartford, new york, usa",27.0
445,50073,"south portland, maine, usa",
446,50129,"reynolds, ,",
447,50225,"fresno, california, usa",
448,50681,"asheville, north carolina, usa",50.0
449,50730,"mcallen, texas, usa",
450,50823,"sacramento, california, usa",
451,50849,"prince albert, saskatchewan, canada",52.0
452,50859,"erin, tennessee, usa",26.0
453,50895,"calverton, new york, usa",
454,51100,"new braunfels, texas, usa",25.0
455,51252,"yucca valley, california, usa",
456,51350,"monroe, ,",
457,51365,"shelbyville, kentucky, usa",48.0
458,51386,"adrian, michigan, usa",41.0
459,51450,"lawrenceville, georgia, usa",54.0
460,51526,"long beach, california, usa",34.0
461,51742,"brooklyn, new york, usa",
462,51883,"jasper, missouri, usa",31.0
463,51992,"west fairlee, vermont, usa",43.0
464,52011,"burlington, ontario, canada",37.0
